time,sequence_state,velocity,rpm,bus_frequency,slip,line_voltage,machine_line_current,machine_active_current,machine_reactive_current,flux_magnitude,motor_torque,motor_shaft_power,electrical_export,machine_reactive_demand,machine_copper_loss,machine_core_loss,magnetic_storage_power,rectifier_power,dc_input_power,dc_voltage,dc_capacitor_power,chopper_target_voltage,chopper_duty,dc_brake_power,battery_voltage,battery_power,aux_voltage,aux_power,energy_residual,k_precharge,k_main,brake_command,brake_physical_state,fault
1.7700000000002136,BRAKE_RELEASE,0.03913972471532492,224.25410374919952,6.265862331916022,-0.19299409972101655,48.640451183985284,1.8359308735054614,-1.4269303376820176e-16,1.8359308735054616,1.0668838327892542,-3.766523838460012,-88.45242370262028,1.0658141036401503e-14,154.6730135854217,86.15508474505086,0.5914733728454139,1.705865584724009,0.0,0.0,70.6638822733328,0.0,100.0,0.0,0.0,23.98720671534214,6.137503273126903,599.5354969127582,-0.00422868340368332,1.8091616620807827e-05,False,True,RELEASE,MOVING,
1.780000000000216,BRAKE_RELEASE,0.039966120354261954,228.98900198111042,6.337385780059171,-0.20443460404779287,50.32494562509774,1.8442630016010542,-0.005677588121819889,1.8442542623151634,1.0720473130406247,-3.735821094422615,-89.5837652890109,0.4948890279610194,160.7550917056593,86.41843081674992,0.6331500380422611,2.0372954062577833,0.4948894754102873,0.4922506170100527,70.69643844566109,0.4922506170100527,100.0,0.0,0.0,23.98718672633736,6.147087758428261,599.5351563097049,-0.018576355465297567,1.8284763417142358e-05,False,True,RELEASE,MOVING,
1.790000000000215,BRAKE_RELEASE,0.040721131916204426,233.31489957939877,6.479701660951879,-0.20023478336667955,51.45477931978747,1.8563524564203866,-0.03254732203447178,1.8560671093164676,1.0767378930505893,-3.8176188227359127,-93.27465581184848,2.9006919405865084,165.41695502566293,87.8774118198415,0.6618985787120071,1.834653472708311,2.9006919405901717,2.851675582044286,71.23700270778608,2.851675582044286,100.0,0.0,0.0,23.98716684888299,6.156618740812909,599.5340537664215,-0.04278196898317166,1.8373808593707963e-05,False,True,RELEASE,MOVING,
1.8000000000002139,BRAKE_RELEASE,0.04137251328077919,237.04703988375945,6.669198940859312,-0.1847851692825968,52.725102509312364,1.8624713974938119,-0.05335789531643836,1.861706916109502,1.0809413903295653,-3.8489293198569907,-95.54392764153826,4.872779403375276,170.01583481020242,88.4818612705266,0.6949841086543743,1.494302858981655,4.872779403386396,4.759891271791105,72.41682100673754,4.759891271791105,100.0,0.0,0.0,23.98714330239001,6.16790895932719,599.532394535147,-0.04834641772299353,1.8410612490527e-05,False,True,RELEASE,MOVING,
1.8100000000002128,BRAKE_RELEASE,0.042019517073302544,240.75409854781407,6.8354884930038775,-0.1740399572721389,54.13838174161202,1.8640964545105987,-0.06714486604642649,1.862886780961901,1.0847506989411353,-3.836458170797168,-96.72367176529357,6.296202814823527,174.68369042362673,88.39489070989197,0.7327410944001277,1.2998371461779215,6.296202814842065,6.128955072786568,74.03663278824456,6.128955072786568,100.0,0.0,0.0,23.987115685824396,6.1811506932541445,599.5308219804695,-0.03972474508321522,1.8398319003409824e-05,False,True,RELEASE,RELEASED,
1.8200000000002117,LOWERING,0.042775944422871436,245.0881080116705,7.424032285723106,-0.10042673387879697,55.996281318170055,1.8476755311209931,-0.08726306886002501,1.8456137258690872,1.0875078303259518,-3.739096553700171,-95.96603182369718,8.463505801134225,179.00313018559936,86.25090038262545,0.7838958803659105,0.46772975957176754,8.46350580116733,8.201310688152612,76.14603833093645,8.201310688152612,103.00000000000003,0.0,0.0,23.987087392118532,6.194717074259347,599.5304230827717,0.020527847996132387,1.8294167539067985e-05,False,True,RELEASE,RELEASED,
1.8300000000002106,LOWERING,0.04373754650872975,250.5976821207363,7.579210522287457,-0.10212746382061726,58.02221306581968,1.831742554823301,-0.10068663862415902,1.8289732059144994,1.089175948149657,-3.6396238467670505,-95.51293036335343,10.118747510643956,183.8070902680948,84.20467535693206,0.8416443022638441,0.347863193513831,10.118747510688918,9.78169374798877,78.66550160677231,9.78169374798877,106.00000000000004,0.0,0.0,23.98706800158258,6.204014508701801,599.5322181375021,0.07475581686674992,1.8191004340195605e-05,False,True,RELEASE,RELEASED,
1.8400000000002095,LOWERING,0.04487226612301415,257.0991466036572,7.774096172480065,-0.1023752939656878,60.24951965177261,1.8225416512490211,-0.11234166356963937,1.8190759800414922,1.090385441123963,-3.562726440204959,-95.92056536902547,11.723440046979093,189.83009077212492,82.896599293776,0.9075011545673337,0.39302487370316896,11.723440047035771,11.313528569289337,81.5117168865282,11.313528569289337,109.00000000000007,0.0,0.0,23.987065327433164,6.20529671699294,599.5354767245312,0.1029889794207115,1.811319736688688e-05,False,True,RELEASE,RELEASED,
1.8500000000002084,LOWERING,0.04614285565161304,264.3790883518805,8.007356449537067,-0.10056750113896902,62.67340359989982,1.8181607593890399,-0.1231689214681232,1.813984003172715,1.0915393481411892,-3.501358095625462,-96.93759671463144,13.370419896003682,196.91434753149053,82.09301066712055,0.9819888796989842,0.4921772718082025,13.370419896072967,12.886029055548217,84.65331208030223,12.886029055548217,112.00000000000009,0.0,0.0,23.987081423590254,6.197578884349225,599.5393429816236,0.10991752308942182,1.805226716911079e-05,False,True,RELEASE,RELEASED,
1.8600000000002073,LOWERING,0.047526229204978857,272.3052349616682,8.270171270876636,-0.09753968425696191,65.28707544974489,1.816654848159075,-0.1334705146934005,1.8117451418583548,1.092843544305916,-3.448838991327857,-98.34618743574948,15.092916775348932,204.8731040486723,81.58110551286666,1.0656005551951708,0.6065645923387422,15.092916775430723,14.531348816160072,88.07255211609069,14.531348816160072,115.00000000000011,0.0,0.0,23.987114193901,6.181866047543859,599.5431744943965,0.10186409850395872,1.8002779366810273e-05,False,True,RELEASE,RELEASED,
