target_hz,stable,load_speed_m_min,rotor_rpm,synchronous_rpm,slip,v_ll_rms,current_rms,active_current,reactive_current,flux_target,actual_flux,copper_loss_w,core_loss_w,mechanical_input_w,electrical_export_w,dc_link_power_w,resistor_power_w,exciter_active_w,exciter_reactive_var,actual_bus_frequency_hz,speed_change_last_0_2_s_rpm,frequency_error_hz,fault
20.0,False,14.634550459304863,1397.4966273156817,1356.5343051252803,-0.030196303945751127,385.2501118523256,1.8149808952241298,-0.7001910223499922,1.6744814666782837,0.95,1.077537531335205,88.16169086067943,37.10441217055735,592.2203483942534,467.21840115697955,451.1618118319981,444.1926390175552,8.526512829121202e-14,1117.3358821463908,45.21781017084268,25.801309197036062,25.217810170842682,
15.0,False,14.871115762906678,1420.08694977504,1378.2400951710024,-0.03036252881530449,385.53351433558083,1.7836215562155153,-0.7074461825112278,1.6373227399162777,0.95,1.0618569850049215,85.93419699440939,37.159022668985884,595.1851203333531,472.4068342943199,456.0666980695543,448.9653421436688,0.0,1093.3445842287445,45.941336505700086,35.57736873038289,30.941336505700086,
10.0,False,15.497481195699113,1479.900442661526,1435.0917661969065,-0.031223561809824767,386.7838452507227,1.7268871677742086,-0.7405242612273448,1.560052277571788,0.95,1.0245756060623707,82.87784327595995,37.40043573673376,616.1173854218274,496.09887886774317,478.4402696528574,471.4054294102734,-4.263256414560601e-14,1045.1246858485108,47.83639220656355,41.96066770825769,37.83639220656355,
7.5,False,15.948506360733395,1522.9701733459528,1475.853747885739,-0.031924860798511534,387.82153373581815,1.697741775468474,-0.768309952713561,1.513944170942949,0.95,1.0000434217820657,81.85191284838437,37.601385507300584,635.3638576855603,516.0942328200463,497.2952303907774,490.38924509176684,8.526512829121202e-14,1016.9565715966698,49.19512492952463,41.841062016425894,41.69512492952463,
5.0,False,16.362281904528594,1562.4828272212783,1513.820047904738,-0.03214568295874652,388.36835731572927,1.6633222415454758,-0.7815078762145119,1.468293675881821,0.95,0.9771133125718151,79.83958966082918,37.70749524102949,643.1280917322539,525.6998157128218,506.34777681074013,498.21830673838497,0.0,987.6825791727605,50.460668263491264,96.9103001974197,45.460668263491264,
